,opt,beta1,beta2,seed,lr,batch_size,total_timesteps,learning_starts,end_e,gpu,env,run

9,Adam+v2,0.0,0.999,42,0.0001,32,10000000,100000,0.01,1,SeaquestNoFrameskip-v4,TRUE
9,Adam+v2,0.0,0.999,43,0.0001,32,10000000,100000,0.01,1,SeaquestNoFrameskip-v4,TRUE
9,Adam+v2,0.0,0.999,44,0.0001,32,10000000,100000,0.01,1,SeaquestNoFrameskip-v4,TRUE
9,Adam+v2,0.0,0.999,45,0.0001,32,10000000,100000,0.01,1,SeaquestNoFrameskip-v4,TRUE
9,Adam+v2,0.0,0.999,46,0.0001,32,10000000,100000,0.01,1,SeaquestNoFrameskip-v4,TRUE

9,Adam+v2,0.0,0.999,42,0.0001,32,10000000,100000,0.01,0,QbertNoFrameskip-v4,FALSE
9,Adam+v2,0.0,0.999,43,0.0001,32,10000000,100000,0.01,0,QbertNoFrameskip-v4,FALSE
9,Adam+v2,0.0,0.999,44,0.0001,32,10000000,100000,0.01,0,QbertNoFrameskip-v4,FALSE
9,Adam+v2,0.0,0.999,45,0.0001,32,10000000,100000,0.01,0,QbertNoFrameskip-v4,FALSE
9,Adam+v2,0.0,0.999,46,0.0001,32,10000000,100000,0.01,0,QbertNoFrameskip-v4,FALSE


6,Adam,0.9,0.999,44,0.0001,32,10000000,100000,0.01,3,SeaquestNoFrameskip-v4,FALSE
9,AdamPlus,0.9,0.999,44,0.0001,32,10000000,100000,0.01,3,SeaquestNoFrameskip-v4,FALSE
6,Adam,0.9,0.999,45,0.0001,32,10000000,100000,0.01,3,SeaquestNoFrameskip-v4,FALSE
9,AdamPlus,0.9,0.999,45,0.0001,32,10000000,100000,0.01,3,SeaquestNoFrameskip-v4,FALSE
6,Adam,0.9,0.999,46,0.0001,32,10000000,100000,0.01,3,SeaquestNoFrameskip-v4,FALSE
9,AdamPlus,0.9,0.999,46,0.0001,32,10000000,100000,0.01,3,SeaquestNoFrameskip-v4,FALSE


6,Adam,0.9,0.999,44,0.0001,32,10000000,100000,0.01,3,QbertNoFrameskip-v4,FALSE
9,AdamPlus,0.9,0.999,44,0.0001,32,10000000,100000,0.01,3,QbertNoFrameskip-v4,FALSE
6,Adam,0.9,0.999,45,0.0001,32,10000000,100000,0.01,3,QbertNoFrameskip-v4,FALSE
9,AdamPlus,0.9,0.999,45,0.0001,32,10000000,100000,0.01,3,QbertNoFrameskip-v4,FALSE
6,Adam,0.9,0.999,46,0.0001,32,10000000,100000,0.01,3,QbertNoFrameskip-v4,FALSE
9,AdamPlus,0.9,0.999,46,0.0001,32,10000000,100000,0.01,3,QbertNoFrameskip-v4,FALSE
